sequence_pos,item_type
1,6
2,6
3,6
4,5
5,5
6,5
7,1
8,1
9,1
10,2
11,6
12,6
13,1
14,1
15,5
16,3
17,3
18,3
19,0
20,0
21,6
22,6
23,4
24,2
25,2
26,4
27,4
28,0
29,0
30,2
