sequence_pos,item_type
1,3
2,3
3,3
4,3
5,3
6,2
7,2
8,2
9,2
10,2
11,0
12,0
13,1
14,1
15,4
16,4
17,4
18,6
19,6
20,6
21,1
22,1
23,1
24,4
25,4
26,6
27,1
28,1
29,5
30,5
31,3
32,6
33,6
34,3
35,5
36,5
37,1
38,1
