conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,3,2,1,3,1,5,2,0
2,0,0,0,2,3,2,0,0
3,0,2,1,1,1,0,3,0
4,1,1,0,0,0,0,0,0
