sequence_pos,item_type
1,3
2,3
3,0
4,0
5,0
6,2
7,2
8,3
9,3
10,3
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,4
19,1
20,1
21,1
22,1
23,1
24,1
25,3
26,1
27,1
28,1
