sequence_pos,item_type
1,3
2,3
3,3
4,4
5,4
6,2
7,2
8,2
9,4
10,4
11,4
12,4
13,4
14,0
15,0
16,4
17,4
18,4
19,4
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,3
