sequence_pos,item_type
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,2
10,2
11,1
12,1
13,1
14,2
15,2
16,0
17,0
18,0
19,2
20,2
21,0
22,2
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,1
