sequence_pos,item_type
1,3
2,3
3,3
4,0
5,0
6,6
7,6
8,6
9,5
10,6
11,6
12,6
13,2
14,2
15,2
16,2
17,2
18,6
19,6
20,1
21,1
22,1
23,1
24,4
25,7
26,7
27,7
28,5
29,5
30,7
31,4
32,4
33,4
34,1
35,1
36,1
37,4
38,4
39,4
40,4
41,1
42,1
43,7
44,7
45,7
