sequence_pos,item_type
1,6
2,6
3,6
4,5
5,5
6,0
7,0
8,0
9,3
10,3
11,5
12,3
13,3
14,3
15,2
16,2
17,4
18,0
19,2
20,5
21,5
22,5
23,3
24,3
25,5
26,1
27,1
