sequence_pos,item_type
1,5
2,5
3,6
4,6
5,6
6,0
7,3
8,3
9,3
10,6
11,6
12,5
13,4
14,4
15,4
16,5
17,3
18,0
19,0
20,0
21,4
22,3
23,3
