conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,5,0,0,0,2,3,0,0
2,1,0,0,6,0,0,1,0
3,0,3,0,0,0,0,3,0
4,1,5,0,0,3,0,0,0
