policy,runs,mean_total_time,p90_total_time,mean_tote_switches,mean_bin_switches,mean_optionality
greedy,6,137.06635217819698,162.81050837269416,15.666666666666666,16.666666666666668,28.306829058899766
beam,6,157.8717479326297,193.5687755620986,19.833333333333332,21.5,29.00570358367776
random,6,211.37291592669573,260.4553688210162,31.0,31.5,24.14111540433762
