run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0429,53.660000000000004,56.7,56.7,53.660000000000004,exact_mip,53.660000000000004
run_0430,50.34,52.14,50.34,50.34,exact_mip,50.34
run_0431,42.65,42.65,42.65,42.65,exact_mip,42.65
run_0432,57.39,59.19,57.46,57.39,exact_mip,57.39
run_0433,62.66,62.8,62.66,62.66,exact_mip,62.66
run_0434,72.25,73.98,72.25,72.25,exact_mip,72.25
run_0435,41.66,43.88,43.32,41.66,exact_mip,41.66
run_0436,48.65,48.65,48.65,48.65,exact_mip,48.65
run_0437,83.9,86.66,83.9,83.9,exact_mip,83.9
run_0438,56.57,57.88,57.88,56.57,exact_mip,56.57
run_0439,48.81,50.33,50.33,48.81,exact_mip,48.81
run_0440,81.93,84.55,82.07,81.93,exact_mip,81.93
run_0441,63.41,63.62,63.41,63.41,exact_mip,63.41
run_0442,58.9,58.9,58.9,58.9,exact_mip,58.9
run_0443,67.1,71.24,69.58,67.1,exact_mip,67.1
run_0444,63.97,65.28,64.11,63.97,exact_mip,63.97
run_0445,49.09,49.09,49.09,49.09,exact_mip,49.09
run_0446,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0447,29.65,29.65,29.65,29.65,exact_mip,29.65
run_0448,19.84,19.84,19.84,19.84,exact_mip,19.84
run_0449,36.21,37.94,36.21,36.21,exact_mip,36.21
run_0450,66.27,66.55,66.55,66.27,exact_mip,66.27
run_0451,102.05,103.57,102.75,102.05,exact_mip,102.05
run_0452,32.09,32.09,32.09,32.09,exact_mip,32.09
run_0453,75.91,75.91,75.91,75.91,exact_mip,75.91
run_0454,86.8,88.81,87.15,86.8,exact_mip,86.8
run_0455,57.9,60.45,58.25,57.9,exact_mip,57.9
run_0456,83.71000000000001,86.21,85.65,83.71000000000001,exact_mip,83.71000000000001
run_0457,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0458,63.15,63.15,63.15,63.15,exact_mip,63.15
run_0459,31.4,31.4,31.4,31.4,exact_mip,31.4
run_0460,31.4,31.4,31.4,31.4,exact_mip,31.4
run_0461,100.33,103.93,103.65,100.33,exact_mip,100.33
run_0462,63.38,64.76,64.34,63.38,exact_mip,63.38
run_0463,97.96000000000001,101.84,101.84,98.52,exact_mip,97.96000000000001
run_0464,51.32,52.56,51.32,51.32,exact_mip,51.32
run_0465,65.41,65.69,65.55,65.41,exact_mip,65.41
run_0466,71.65,72.75,71.65,71.65,exact_mip,71.65
run_0467,42.54,44.27,42.61,42.54,exact_mip,42.54
run_0468,35.59,35.59,35.59,35.59,exact_mip,35.59
run_0469,88.4,89.64,89.64,88.4,exact_mip,88.4
run_0470,25.86,27.38,25.86,25.86,exact_mip,25.86
run_0471,39.15,39.15,39.15,39.15,exact_mip,39.15
run_0472,61.55,64.94,63.28,61.55,exact_mip,61.55
run_0473,73.54666666666667,73.73333333333333,73.64,73.54666666666667,exact_mip,73.54666666666667
run_0474,66.38,68.65,67.41,66.38,exact_mip,66.38
run_0475,63.96,65.27,63.96,63.96,exact_mip,63.96
run_0476,102.26,110.21,109.11,104.39,exact_mip,102.26
run_0477,75.16,79.39,76.54,75.16,exact_mip,75.16
run_0478,72.82000000000001,75.58,73.78,72.82000000000001,exact_mip,72.82000000000001
run_0479,58.88,61.92,59.44,58.88,exact_mip,58.88
run_0480,100.43,103.23666666666666,103.23666666666666,100.64,exact_mip,100.43
run_0481,31.4,31.4,31.4,31.4,exact_mip,31.4
run_0482,51.96,53.48,51.96,51.96,exact_mip,51.96
run_0483,85.03,90.26666666666667,90.05666666666667,86.13,exact_mip,85.03
run_0484,89.91,91.71,91.36,89.91,exact_mip,89.91
run_0485,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0486,66.81,70.13,67.37,66.81,exact_mip,66.81
run_0487,68.64,70.16,68.78,68.64,exact_mip,68.64
run_0488,64.17666666666666,65.20666666666666,64.27,64.17666666666666,exact_mip,64.17666666666666
run_0489,44.34,44.34,44.34,44.34,exact_mip,44.34
run_0490,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0491,70.13,71.72,70.34,70.13,exact_mip,70.13
run_0492,33.22,34.88,33.22,33.22,exact_mip,33.22
run_0493,43.11,44.63,43.11,43.11,exact_mip,43.11
run_0494,42.38,44.6,42.38,42.38,exact_mip,42.38
run_0495,63.22,66.05,64.53,63.22,exact_mip,63.22
run_0496,66.22,66.64,66.43,66.22,exact_mip,66.22
run_0497,33.84,33.84,33.84,33.84,exact_mip,33.84
run_0498,33.84,33.84,33.84,33.84,exact_mip,33.84
run_0499,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0500,53.7,53.7,53.7,53.7,exact_mip,53.7
