run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0087,72.38,74.93,74.65,72.38,exact_mip,72.38
run_0088,50.51,51.89,50.51,50.51,exact_mip,50.51
run_0089,80.28,82.71,82.57,80.28,exact_mip,80.28
run_0090,25.92,25.92,25.92,25.92,exact_mip,25.92
run_0091,99.06,101.4,99.2,99.06,exact_mip,99.06
run_0092,59.59,59.59,59.59,59.59,exact_mip,59.59
run_0093,113.65,116.78,114.14,113.72,exact_mip,113.65
run_0094,75.48,79.22,76.65,75.62,exact_mip,75.48
run_0095,78.57000000000001,80.37,78.99,78.57000000000001,exact_mip,78.57000000000001
run_0096,109.08,111.56,109.64,109.08,exact_mip,109.08
run_0097,83.84,86.83,86.83,83.84,exact_mip,83.84
run_0098,18.92,18.92,18.92,18.92,exact_mip,18.92
run_0099,84.58,87.13,86.85,84.58,exact_mip,84.58
run_0100,22.42,22.42,22.42,22.42,exact_mip,22.42
run_0101,39.09,39.09,39.09,39.09,exact_mip,39.09
run_0102,81.68,81.68,81.68,81.68,exact_mip,81.68
run_0103,31.96,33.69,31.96,31.96,exact_mip,31.96
run_0104,48.57,48.92,48.57,48.57,exact_mip,48.57
run_0105,87.07,89.15,88.12,87.07,exact_mip,87.07
run_0106,22.42,22.42,22.42,22.42,exact_mip,22.42
run_0107,86.95,89.85,89.78,86.95,exact_mip,86.95
run_0108,77.11,78.63,77.11,77.11,exact_mip,77.11
run_0109,91.48333333333333,94.97,93.66,92.97666666666666,exact_mip,91.48333333333333
run_0110,63.72,64.0,63.86,63.72,exact_mip,63.72
run_0111,110.67,113.01,112.33,110.88,exact_mip,110.67
run_0112,73.08,75.02,75.02,73.08,exact_mip,73.08
run_0113,59.71,61.44,59.71,59.71,exact_mip,59.71
run_0114,88.56,89.26,89.26,88.56,exact_mip,88.56
run_0115,33.15,33.15,33.15,33.15,exact_mip,33.15
run_0116,50.15,50.15,50.15,50.15,exact_mip,50.15
run_0117,59.45,61.39,59.45,59.45,exact_mip,59.45
run_0118,68.65,71.36333333333333,68.86,68.65,exact_mip,68.65
run_0119,49.15,51.63,49.15,49.15,exact_mip,49.15
run_0120,52.26,52.26,52.26,52.26,exact_mip,52.26
run_0121,47.9,47.9,47.9,47.9,exact_mip,47.9
run_0122,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0123,83.4,86.23,84.03,83.4,exact_mip,83.4
run_0124,25.84,25.84,25.84,25.84,exact_mip,25.84
run_0125,60.57,64.38,60.99,60.57,exact_mip,60.57
run_0126,75.45,77.18,75.45,75.45,exact_mip,75.45
run_0127,67.91,68.05,67.91,67.91,exact_mip,67.91
