run_id,policy,tote_switch_time,bin_switch_time,place_time,total_time,steps,tote_switches,bin_switches,avg_optionality_component
1,greedy,3.913545802253243,0.730548344962704,1.7207795863384887,136.98411980860345,36,16,17,28.499804844245524
1,beam,3.913545802253243,0.730548344962704,1.7207795863384887,156.29104474243,36,20,22,29.000339452885246
1,random,3.913545802253243,0.730548344962704,1.7207795863384887,218.3861694236025,36,34,32,25.238320390262558
2,greedy,4.421190235059318,0.6846688925085391,1.9366921636297365,152.09933282426476,36,16,17,28.499804844245524
2,beam,4.421190235059318,0.6846688925085391,1.9366921636297365,173.2074382270447,36,20,22,29.000339452885246
2,random,4.421190235059318,0.6846688925085391,1.9366921636297365,231.73907218782477,36,32,30,23.340378517933942
3,greedy,3.56067531923453,0.7320542232115109,1.5475933957467864,125.12908914923248,36,16,17,28.499804844245524
3,beam,3.56067531923453,0.7320542232115109,1.5475933957467864,143.03206154222815,36,20,22,29.000339452885246
3,random,3.56067531923453,0.7320542232115109,1.5475933957467864,172.44870991296196,36,26,33,21.926509092196117
4,greedy,4.1118083946732735,0.7581192844878037,1.2287649370590041,122.91249988518915,36,16,17,28.499804844245524
4,beam,4.1118083946732735,0.7581192844878037,1.2287649370590041,142.39221060183348,36,20,21,28.9990014047694
4,random,4.1118083946732735,0.7581192844878037,1.2287649370590041,204.9431511464398,36,33,33,26.693882517561413
5,greedy,5.37005888010865,0.7815945577722414,2.1084934912385966,162.81050837269416,36,14,15,27.34195013217096
5,beam,5.37005888010865,0.7815945577722414,2.1084934912385966,193.5687755620986,36,19,20,29.033862285756186
5,random,5.37005888010865,0.7815945577722414,2.1084934912385966,260.4553688210162,36,30,30,22.184021810027044
6,greedy,3.2180416169695816,0.6808454846133939,1.6499867755349151,122.4625630291979,36,16,17,28.499804844245524
6,beam,3.2180416169695816,0.6808454846133939,1.6499867755349151,138.73895692014318,36,20,22,29.000339452885246
6,random,3.2180416169695816,0.6808454846133939,1.6499867755349151,180.2650240683292,36,31,31,25.463580098044645
