run_name,trials,total_time,sum_order_completion_time,optionality_score,objective_score,n_totes,n_units
run_0001,2000,79.5,301.5,-6.199999999999999,303.67,8,26
run_0002,2000,82.25,234.0,7.2,231.48,6,33
run_0003,2000,80.5,260.75,-7.6,263.41,8,27
run_0004,2000,18.5,49.0,-1.2000000000000002,49.42,2,7
run_0005,2000,106.75,463.0,1.3999999999999986,462.51,9,38
run_0006,2000,78.25,241.75,-7.0,244.2,7,28
run_0007,2000,47.75,141.0,-3.0,142.05,4,17
run_0008,2000,61.5,162.0,1.599999999999999,161.44,6,22
run_0009,2000,91.75,328.0,-1.0,328.35,7,34
run_0010,2000,99.25,413.75,7.6,411.09,8,36
run_0011,2000,66.75,163.5,-5.0,165.25,6,25
run_0012,2000,90.5,353.25,-3.4000000000000017,354.44,8,31
run_0013,2000,24.25,55.75,-2.4,56.59,3,8
run_0014,2000,66.5,173.5,2.333333333333333,172.68333333333334,6,24
run_0015,2000,49.25,161.75,-0.6000000000000001,161.96,5,16
run_0016,2000,88.0,345.0,1.6666666666666659,344.4166666666667,8,30
run_0017,2000,39.5,126.25,0.9999999999999997,125.9,4,14
run_0018,2000,74.75,167.5,9.799999999999999,164.07,8,25
run_0019,2000,64.75,184.0,-4.199999999999999,185.47,6,23
run_0020,2000,90.0,412.75,-0.20000000000000062,412.82,7,33
run_0021,2000,37.0,79.25,-4.000000000000001,80.65,4,13
run_0022,2000,103.75,441.25,-0.8666666666666684,441.55333333333334,9,35
run_0023,2000,20.75,50.5,-2.4,51.34,3,6
run_0024,2000,48.75,150.25,-3.4000000000000004,151.44,4,18
run_0025,2000,67.25,200.5,5.8,198.47,6,24
run_0026,2000,55.5,218.25,-11.200000000000001,222.17,7,15
run_0027,2000,22.5,47.0,-2.4,47.84,3,7
run_0028,2000,56.25,162.5,1.5999999999999992,161.94,5,20
run_0029,2000,99.0,420.25,-2.066666666666667,420.97333333333336,8,35
run_0030,2000,94.0,398.5,1.1999999999999984,398.08,8,33
run_0031,2000,74.75,215.75,1.9999999999999987,215.05,7,26
run_0032,2000,78.75,254.5,-4.600000000000001,256.11,7,27
run_0033,2000,85.75,281.0,-0.20000000000000062,281.07,8,30
run_0034,2000,99.25,369.25,-4.266666666666666,370.74333333333334,8,36
run_0035,2000,58.75,178.0,-8.4,180.94,6,20
run_0036,2000,95.75,387.0,-4.400000000000002,388.54,9,33
run_0037,2000,38.75,85.25,-1.2000000000000002,85.67,4,14
run_0038,2000,57.5,165.25,3.5999999999999996,163.99,5,22
run_0039,2000,22.5,47.0,-2.4,47.84,3,7
run_0040,2000,26.5,57.25,-1.8000000000000003,57.88,4,7
run_0041,2000,115.25,496.25,2.7999999999999985,495.27,9,42
run_0042,2000,99.75,417.0,-4.800000000000001,418.68,9,34
run_0043,2000,52.25,114.75,1.3999999999999995,114.26,5,19
run_0044,2000,62.0,214.25,-2.200000000000001,215.02,6,21
run_0045,2000,95.5,414.25,9.733333333333333,410.84333333333336,8,33
run_0046,2000,37.75,88.75,-0.6000000000000005,88.96,4,13
run_0047,2000,76.75,306.5,-6.200000000000001,308.67,7,25
run_0048,2000,90.0,360.75,-0.40000000000000063,360.89,7,33
run_0049,2000,22.5,55.0,-2.4,55.84,3,7
run_0050,2000,49.5,150.75,-2.6,151.66,5,17
