sequence_pos,item_type
1,0
2,0
3,1
4,3
5,3
6,3
7,3
8,3
9,2
10,2
11,2
12,2
13,2
14,4
15,4
16,4
17,4
18,4
19,0
20,0
21,2
22,2
23,2
24,0
25,3
26,3
27,0
28,0
29,0
30,4
31,4
