policy,runs,mean_total_time,p90_total_time,mean_tote_switches,mean_bin_switches,mean_optionality
greedy,40,138.48166809852705,150.53736311922032,16.0,16.95,28.47646811065614
beam,40,156.90509862337217,170.88513519262787,19.8,21.7,29.0112501671623
