run_id,policy,tote_switch_time,bin_switch_time,place_time,total_time,steps,tote_switches,bin_switches,avg_optionality_component
1,greedy,4.2925680589865784,0.5983570971902816,1.934821169012041,148.5067216804535,36,16,17,28.499804844245524
1,beam,4.2925680589865784,0.5983570971902816,1.934821169012041,163.77785424617437,36,19,21,29.13694345495131
2,greedy,3.3164267196017723,0.7394581555455636,1.553667779307312,121.56565621296615,36,16,17,28.499804844245524
2,beam,3.3164267196017723,0.7394581555455636,1.553667779307312,138.52865386910108,36,20,22,29.000339452885246
3,greedy,4.45745023630646,0.8966855994714138,2.429683765529579,174.0314745309822,36,16,17,28.499804844245524
3,beam,4.45745023630646,0.8966855994714138,2.429683765529579,186.53311740148075,36,18,21,29.025934149862636
4,greedy,3.288652539834879,0.7481840751706815,1.9866549734427843,136.85714895919992,36,16,17,28.499804844245524
4,beam,3.288652539834879,0.7481840751706815,1.9866549734427843,153.75267949439282,36,20,22,29.000339452885246
5,greedy,4.608257073664009,0.7216056536960279,2.0316892362596093,159.14022179680262,36,16,17,28.499804844245524
5,beam,4.608257073664009,0.7216056536960279,2.0316892362596093,181.18127835993886,36,20,22,29.000339452885246
6,greedy,4.713214072964614,0.7743511229503107,1.597043411375644,146.06895706711222,36,16,17,28.499804844245524
6,beam,4.713214072964614,0.7743511229503107,1.597043411375644,168.79356897372222,36,20,22,29.000339452885246
7,greedy,3.4569375596770486,0.5491229831560411,1.918357249699928,133.70695265768288,36,16,17,28.499804844245524
7,beam,3.4569375596770486,0.5491229831560411,1.918357249699928,150.28031781217126,36,20,22,29.000339452885246
8,greedy,4.7371089465419844,0.6490038525798156,1.7062538240931182,148.2519463058809,36,16,17,28.499804844245524
8,beam,4.7371089465419844,0.6490038525798156,1.7062538240931182,170.4454013549479,36,20,22,29.000339452885246
9,greedy,3.881759866482783,0.7121295289216341,1.650065399569825,133.61671423990603,36,16,17,28.499804844245524
9,beam,3.881759866482783,0.7121295289216341,1.650065399569825,152.7044013504453,36,20,22,29.000339452885246
10,greedy,4.802364592534279,0.7066608747109397,1.5912159288663061,146.13484178982145,36,16,17,28.499804844245524
10,beam,4.802364592534279,0.7066608747109397,1.5912159288663061,168.8776045335133,36,20,22,29.000339452885246
11,greedy,3.9354822217870016,0.7900763288288345,2.128616566057263,153.0292095167437,36,16,17,28.499804844245524
11,beam,3.9354822217870016,0.7900763288288345,2.128616566057263,172.7215200480359,36,20,22,29.000339452885246
12,greedy,3.70650551725402,0.7391368381264044,1.6409506375736311,130.9436374768639,36,16,17,28.499804844245524
12,beam,3.70650551725402,0.7391368381264044,1.6409506375736311,149.46534373651198,36,20,22,29.000339452885246
13,greedy,3.5259011659732975,0.8663299376759442,1.4657333549690423,123.90842837494932,36,16,17,28.499804844245524
13,beam,3.5259011659732975,0.8663299376759442,1.4657333549690423,142.34368272722224,36,20,22,29.000339452885246
14,greedy,4.1020777046473675,0.9064947299177292,1.880713356272214,148.74933450875895,36,16,17,28.499804844245524
14,beam,4.1020777046473675,0.9064947299177292,1.880713356272214,168.7836242470193,36,20,21,28.9990014047694
15,greedy,3.423644475927752,0.8928752082503748,1.9842703528315186,141.39092285703506,36,16,17,28.499804844245524
15,beam,3.423644475927752,0.8928752082503748,1.9842703528315186,159.54987680199798,36,20,22,29.000339452885246
16,greedy,3.4201550825209552,0.6384187388954913,1.8608176869302056,132.565036611046,36,16,17,28.499804844245524
16,beam,3.4201550825209552,0.6384187388954913,1.8608176869302056,149.43775063560727,36,20,22,29.000339452885246
17,greedy,5.133716229748819,0.7537200516477222,1.7517631270470995,146.24130056489486,36,14,15,27.34195013217096
17,beam,5.133716229748819,0.7537200516477222,1.7517631270470995,170.5447657421287,36,18,20,29.025934149862636
18,greedy,3.2570016288251855,0.6138251950743361,1.5796283361911954,119.41367448034967,36,16,17,28.499804844245524
18,beam,3.2570016288251855,0.6138251950743361,1.5796283361911954,135.51080697102208,36,20,22,29.000339452885246
19,greedy,4.098105670894465,0.8003883985135056,2.0227753921234415,151.99620762548489,36,16,17,28.499804844245524
19,beam,4.098105670894465,0.8003883985135056,2.0227753921234415,171.59018390311675,36,20,21,28.9990014047694
20,greedy,3.6256909176524337,0.738834537649432,1.6114834423074533,128.5846457455476,36,16,17,28.499804844245524
20,beam,3.6256909176524337,0.738834537649432,1.6114834423074533,146.7815821044045,36,20,22,29.000339452885246
21,greedy,4.38113494968695,0.8565889983347503,1.5435990112105549,140.22973657026193,36,16,17,28.499804844245524
21,beam,4.38113494968695,0.8565889983347503,1.5435990112105549,162.03722136068347,36,20,22,29.000339452885246
22,greedy,4.412796437258472,0.6445430646721722,1.5761512082877716,138.3034185939222,36,16,17,28.499804844245524
22,beam,4.412796437258472,0.6445430646721722,1.5761512082877716,159.17731966631695,36,20,22,29.000339452885246
23,greedy,3.942410499853474,0.861116738763624,1.315208662775193,125.06506441654412,36,16,17,28.499804844245524
23,beam,3.942410499853474,0.861116738763624,1.315208662775193,145.1402901097761,36,20,22,29.000339452885246
24,greedy,3.8713858707605295,0.8279647282101187,1.7315725343259727,138.35418554747548,36,16,17,28.499804844245524
24,beam,3.8713858707605295,0.8279647282101187,1.7315725343259727,157.97955267156823,36,20,22,29.000339452885246
25,greedy,3.1332240424266855,0.6959570914309592,1.8804278294424817,129.65825709308263,36,16,17,28.499804844245524
25,beam,3.1332240424266855,0.6959570914309592,1.8804278294424817,145.67093871994416,36,20,22,29.000339452885246
26,greedy,3.295361379448403,0.944392174704578,1.5430650205625074,124.33078978140259,36,16,17,28.499804844245524
26,beam,3.295361379448403,0.944392174704578,1.5430650205625074,142.2341961727191,36,20,22,29.000339452885246
27,greedy,4.651564363587857,0.6464049779914439,1.7675816223627474,149.04685284831916,36,16,17,28.499804844245524
27,beam,4.651564363587857,0.6464049779914439,1.7675816223627474,170.88513519262787,36,20,22,29.000339452885246
28,greedy,3.571729969443749,0.8981521008052351,1.895143297058487,140.64142391889447,36,16,17,28.499804844245524
28,beam,3.571729969443749,0.8981521008052351,1.895143297058487,159.4191043006957,36,20,22,29.000339452885246
29,greedy,3.2100794327957067,0.9108089778925568,1.9883975299759904,138.4273346280404,36,16,17,28.499804844245524
29,beam,3.2100794327957067,0.9108089778925568,1.9883975299759904,155.82169724868598,36,20,22,29.000339452885246
30,greedy,3.9015097848410183,0.8674716994385749,1.5795215132143863,134.03394992363,36,16,17,28.499804844245524
30,beam,3.9015097848410183,0.8674716994385749,1.5795215132143863,153.97734756018687,36,20,22,29.000339452885246
31,greedy,2.5736056454496823,0.6829902259749218,1.7888932908812307,122.33589393139229,36,18,17,28.72419021274469
31,beam,2.5736056454496823,0.6829902259749218,1.7888932908812307,130.21506612619135,36,20,21,28.946366196192947
32,greedy,4.088340022080686,0.8777202713632342,1.9500743931320654,150.53736311922032,36,16,17,28.499804844245524
32,beam,4.088340022080686,0.8777202713632342,1.9500743931320654,170.401604292996,36,20,21,28.9990014047694
33,greedy,3.738964403230426,0.7993417219013944,1.9659992502308838,144.18821273232237,36,16,17,28.499804844245524
33,beam,3.738964403230426,0.7993417219013944,1.9659992502308838,163.9401206766525,36,20,23,29.146101378058713
34,greedy,4.685434564706936,0.5997095444417722,1.6367145641078336,144.0837395987031,36,16,17,28.499804844245524
34,beam,4.685434564706936,0.5997095444417722,1.6367145641078336,165.82402557973967,36,20,22,29.000339452885246
35,greedy,3.0973770112962953,0.6537255014274295,1.4642364348619967,113.3838773600389,36,16,17,28.499804844245524
35,beam,3.0973770112962953,0.6537255014274295,1.4642364348619967,129.04201291236123,36,20,22,29.000339452885246
36,greedy,3.0790002976027466,0.7503620760121499,1.2774956489026081,108.01000341434437,36,16,17,28.499804844245524
36,beam,3.0790002976027466,0.7503620760121499,1.2774956489026081,124.07781498481607,36,20,22,29.000339452885246
37,greedy,4.077771860461067,0.7902168240913865,1.6443552745168732,137.87482565953803,36,16,17,28.499804844245524
37,beam,4.077771860461067,0.7902168240913865,1.6443552745168732,152.4787917131954,36,19,20,29.13694345495131
38,greedy,4.055598365474759,0.7735567557795404,1.8408027540746696,144.3089378425365,36,16,17,28.499804844245524
38,beam,4.055598365474759,0.7735567557795404,1.8408027540746696,163.6255583275537,36,20,21,28.9990014047694
39,greedy,3.780198989171911,0.7274938231820942,2.0023263536042855,144.93432755060044,36,16,17,28.499804844245524
39,beam,3.780198989171911,0.7274938231820942,2.0023263536042855,163.69259262319846,36,20,22,29.000339452885246
40,greedy,4.705629244395169,0.9109284949674177,1.5566567800989504,146.815496408331,36,16,17,28.499804844245524
40,beam,4.705629244395169,0.9109284949674177,1.5566567800989504,158.95954038202362,36,18,20,29.025934149862636
