sequence_pos,item_type
1,2
2,4
3,1
4,1
5,1
6,6
7,6
8,0
9,0
10,0
11,5
12,5
13,3
14,3
15,3
16,5
17,5
18,5
19,7
20,8
21,4
22,4
23,4
24,0
25,7
26,7
27,7
28,1
29,1
30,1
