sequence_pos,item_type
1,3
2,3
3,1
4,1
5,1
6,2
7,2
8,2
9,3
10,3
11,0
12,2
13,0
14,0
15,0
16,4
17,0
18,0
19,0
20,1
21,1
22,2
23,1
24,2
25,2
26,3
27,3
28,4
29,4
30,4
31,4
32,0
33,0
34,0
