sequence_pos,item_type
1,4
2,5
3,5
4,1
5,1
6,2
7,3
8,7
9,2
10,2
11,2
12,5
13,5
14,8
15,8
16,8
17,0
18,0
19,0
20,6
21,6
22,6
23,1
24,1
25,2
26,2
27,6
28,8
