sequence_pos,item_type
1,4
2,4
3,3
4,3
5,4
6,4
7,1
8,1
9,4
10,4
11,0
12,0
13,0
14,0
15,0
16,3
17,1
18,1
19,1
20,2
21,4
22,0
23,0
24,3
25,3
26,3
