conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,3,2,0,1,0,0,0,0
2,5,2,3,1,0,0,0,0
3,0,0,2,1,0,0,0,0
4,0,0,0,1,0,0,0,0
