sequence_pos,item_type
1,7
2,7
3,7
4,1
5,1
6,1
7,2
8,2
9,2
10,0
11,0
12,3
13,6
14,6
15,7
16,7
17,0
18,0
19,0
20,5
21,1
22,4
23,2
24,3
25,3
26,3
27,4
28,4
29,0
30,0
