conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,0,1,2,3,0,0,0,0
2,1,1,3,1,0,2,5,0
3,0,3,4,0,0,0,5,0
4,3,3,0,0,0,0,0,0
