conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,0,0,2,3,0,0,0,0
2,1,6,0,2,0,1,0,0
3,5,0,0,0,1,1,0,0
4,2,1,0,0,1,0,0,0
