conv_num,circle,pentagon,trapezoid,triangle,star,moon,heart,cross
1,2,0,3,2,0,7,4,2
2,1,2,1,0,0,0,0,0
3,0,0,2,3,0,0,0,0
4,0,2,0,1,0,2,3,0
