sequence_pos,item_type
1,5
2,3
3,7
4,7
5,7
6,2
7,2
8,8
9,4
10,4
11,2
12,2
13,8
14,8
15,6
16,1
17,5
18,2
19,2
20,6
21,6
22,8
23,3
24,3
25,3
26,7
27,7
28,7
